rank,university,location,search_equation
1,Massachusetts Institute of Technology (MIT),United States,"AF-ID(""Massachusetts Institute of Technology"" 60022195) OR AF-ID(""Broad Institute"" 60001001) OR AF-ID(""Center for Biological and Computational Learning Cambridge"" 60097091) OR AF-ID(""McGovern Institute for Brain Research"" 60100145) OR AF-ID(""MIT Center for Theoretical Physics"" 60003561) OR AF-ID(""MIT Computer Science and Artificial Intelligence Laboratory"" 60006320) OR AF-ID(""MIT Lab for Artificial Intelligence"" 60012129) OR AF-ID(""MIT Laboratory for Computer Science"" 60016468) OR AF-ID(""MIT Haystack Observatory"" 60015009) OR AF-ID(""MIT Kavli Institute for Astrophysics and Space Research"" 60103460) OR AF-ID(""MIT Lincoln Laboratory"" 60024592) OR AF-ID(""MIT Media Laboratory"" 60002243) OR AF-ID(""MIT Plasma Science and Fusion Center"" 60022717) OR AF-ID(""MIT Plasma Fusion Center"" 60018605) OR AF-ID(""MIT Sloan School of Management"" 60014228) OR AF-ID(""Riken-MIT Neuroscience Research Center"" 60015784) OR AF-ID(""Singapore-MIT Alliance"" 60026293) OR AF-ID(""The Harvard-MIT Division of Health Sciences and Technology"" 60097350) OR AF-ID(""Whitehead Institute for Biomedical Research"" 60019356)"
2,Stanford University,United States,"AF-ID(""Stanford University"" 60012708) OR AF-ID(""Center for Advanced Study in the Behavioral Sciences"" 60075286) OR AF-ID(""E.L. Ginzton Lab"" 60074650) OR AF-ID(""Geballe Laboratory for Advanced Materials"" 60091253) OR AF-ID(""High Energy Physics Lab"" 60074651) OR AF-ID(""Hoover Institution"" 60026163) OR AF-ID(""[No Affiliation ID found]"" 60003257) OR AF-ID(""James H. Clark Center"" 60091250) OR AF-ID(""Kavli Institute for Particle Astrophysics and Cosmology"" 60091251) OR AF-ID(""Stanford Cancer Center"" 60010984) OR AF-ID(""Stanford Center for Turbulence Research"" 60078422) OR AF-ID(""[No Affiliation ID found]"" 60003743) OR AF-ID(""Stanford Electronics Lab"" 60016192) OR AF-ID(""Stanford Graduate School of Business"" 60020928) OR AF-ID(""Stanford Law School"" 60010417) OR AF-ID(""Stanford Linear Accelerator Center"" 60025590) OR AF-ID(""Stanford Synchrotron Radiation Laboratory"" 60023012) OR AF-ID(""Stanford University Aerospace Robotics Lab"" 60022291) OR AF-ID(""Stanford University Libraries &amp; Academic Information Resources"" 60032705) OR AF-ID(""Stanford University Medical Center"" 60015615) OR AF-ID(""Cardiac Rehabilitation"" 60015156) OR AF-ID(""Stanford Sleep Disorders Center"" 60005585) OR AF-ID(""Stanford University School of Education"" 60025911) OR AF-ID(""Stanford University School of Medicine"" 60032838) OR AF-ID(""Beckman Center for Molecular and Genetic Medicine"" 60076515) OR AF-ID(""Falk Cardiovascular Research Center Stanford University"" 60028364) OR AF-ID(""Richard M. Lucas Center for Imaging"" 60091249) OR AF-ID(""Stanford Blood Center"" 60011491) OR AF-ID(""Stanford Center for Biomedical Ethics"" 60026687) OR AF-ID(""Stanford Center for Narcolepsy"" 60025151) OR AF-ID(""[No Affiliation ID found]"" 60020066) OR AF-ID(""Stanford Genome Technology Center"" 60029540) OR AF-ID(""Stanford Geriatric Education Center"" 60016213) OR AF-ID(""Stanford Medical Group"" 60001292) OR AF-ID(""[No Affiliation ID found]"" 60028625) OR AF-ID(""Stanford Patient Education Research Center"" 60004919) OR AF-ID(""Stanford Arthritis Center"" 60017707) OR AF-ID(""[No Affiliation ID found]"" 60018389) OR AF-ID(""Stanford Stroke Center"" 60017156) OR AF-ID(""Stanford-Lockheed Institute for Space Research"" 60017727) OR AF-ID(""STAR Lab"" 60091252)"
3,Harvard University - Cambridge,United States,"AF-ID(""Harvard University"" 60009982) OR AF-ID(""Blue Hill Observatory"" 60097058) OR AF-ID(""Broad Institute"" 60001001) OR AF-ID(""Center for International Development"" 60023563) OR AF-ID(""Davis Center for Russian and Eurasian Studies"" 60079465) OR AF-ID(""Harvard Business School"" 60019666) OR AF-ID(""Harvard College"" 60000650) OR AF-ID(""Harvard Cyclotron Laboratory"" 60077735) OR AF-ID(""Harvard Divinity School"" 60003705) OR AF-ID(""Harvard Division of Continuing Education"" 60010402) OR AF-ID(""Harvard Forest"" 60007624) OR AF-ID(""Harvard Graduate School of Design"" 60007773) OR AF-ID(""Harvard Graduate School of Education"" 60029819) OR AF-ID(""[No Affiliation ID found]"" 60099481) OR AF-ID(""Harvard Law School"" 60017150) OR AF-ID(""Harvard Medical School"" 60002746) OR AF-ID(""Channing Laboratory"" 60010869) OR AF-ID(""Harvard Clinical Research Institute"" 60017087) OR AF-ID(""Harvard Digestive Disease Center"" 60010158) OR AF-ID(""Harvard Medical School Center for Biomedical Informatics"" 60020482) OR AF-ID(""Harvard Medical School Center for Health and the Global Environment"" 60002564) OR AF-ID(""Harvard Medical School Center for Hereditary Deafness"" 60008361) OR AF-ID(""Harvard Medical School Center for Neurofibromatosis and Allied Disorders"" 60014986) OR AF-ID(""Harvard Medical School Department of Cell Biology"" 60024073) OR AF-ID(""Harvard Medical School Partners HealthCare System Center for Genetics and Genomics"" 60028457) OR AF-ID(""Harvard HMS and PHS Center for Physiological Genomics"" 60016830) OR AF-ID(""Harvard Partners Genome Center"" 60023074) OR AF-ID(""[No Affiliation ID found]"" 60020813) OR AF-ID(""Harvard Pilgrim Health Care Institute"" 60104690) OR AF-ID(""[No Affiliation ID found]"" 60022310) OR AF-ID(""JDRF Center for Immunological Tolerance in Type 1 Diabetes"" 60019829) OR AF-ID(""Massachusetts Mental Health Center"" 60010617) OR AF-ID(""New England Regional Primate Research Center"" 60002389) OR AF-ID(""Schepens Eye Research Institute"" 60028842) OR AF-ID(""Eye Research Institute of Retina Foundation"" 60009965) OR AF-ID(""The Harvard-MIT Division of Health Sciences and Technology"" 60097350) OR AF-ID(""Harvard School of Dental Medicine"" 60005856) OR AF-ID(""Forsyth Institute"" 60001440) OR AF-ID(""Harvard School of Engineering and Applied Sciences"" 60077572) OR AF-ID(""Harvard School of Public Health"" 60032499) OR AF-ID(""Center for Biostatistics in AIDS Research"" 60005478) OR AF-ID(""Center for Population and Development Studies"" 60022098) OR AF-ID(""Harvard Center for Cancer Prevention"" 60021507) OR AF-ID(""Harvard Center for Risk Analysis"" 60027409) OR AF-ID(""Harvard T.H. Chan School of Public Health AIDS Initiative"" 60107878) OR AF-ID(""Botswana Harvard AIDS Institute Partnership"" 60107841) OR AF-ID(""Normative Aging Study"" 60023942) OR AF-ID(""Harvard Stem Cell Institute"" 60027452) OR AF-ID(""Harvard University Faculty of Arts and Sciences"" 60006303) OR AF-ID(""Weatherhead Center for International Affairs Cambridge"" 60100185) OR AF-ID(""Harvard University Herbaria"" 60028031) OR AF-ID(""Harvard University Jefferson Physical Laboratory"" 60077569) OR AF-ID(""John F. Kennedy School of Government"" 60006332) OR AF-ID(""Lyman Laboratory of Physics"" 60013733) OR AF-ID(""Mineralogical Museum at Harvard University"" 60027589) OR AF-ID(""Radcliffe Institute for Advanced Study"" 60018380) OR AF-ID(""Rowland Institute at Harvard"" 60008789) OR AF-ID(""Searle Res. Lab."" 60003637) OR AF-ID(""Society of Fellows Harvard University"" 60028849) OR AF-ID(""The Harvard Center for Neurodegeneration &amp; Repair"" 60012535) OR AF-ID(""The Harvard College Observatory"" 60031821) OR AF-ID(""Harvard-Smithsonian Center for Astrophysics"" 60020680) OR AF-ID(""ITAMP"" 60002294)"
4,California Institute of Technology (Caltech),United States,"AF-ID(""California Institute of Technology"" 60031581) OR AF-ID(""Beckman Institute at Caltech"" 60004270) OR AF-ID(""Caltech Division of Geological and Planetary Sciences"" 60086312) OR AF-ID(""Caltech Infrared Processing and Analysis Center"" 60000275) OR AF-ID(""Caltech Institute for Quantum Information"" 60011911) OR AF-ID(""Caltech Submillimeter Observatory"" 60019402) OR AF-ID(""Jet Propulsion Laboratory California Institute of Technology"" 60009037) OR AF-ID(""Caltech Infrared Processing and Analysis Center"" 60000275) OR AF-ID(""[No Affiliation ID found]"" 60088290) OR AF-ID(""LIGO Livingston Observatory"" 60008123) OR AF-ID(""LIGO Massachusetts Institute of Technology"" 60113291) OR AF-ID(""Palomar Observatory"" 60000933) OR AF-ID(""Spitzer Science Center"" 60086311)"
5,University of Oxford,United Kingdom,"AF-ID(""University of Oxford"" 60026851) OR AF-ID(""Alan Turing Institute"" 60111768) OR AF-ID(""All Souls College"" 60099141) OR AF-ID(""Balliol College"" 60006892) OR AF-ID(""Centre for Tropical Diseases Vietnam"" 60071356) OR AF-ID(""Christ Church"" 60013289) OR AF-ID(""Clinical Trial Service Unit"" 60022323) OR AF-ID(""Exeter College Oxford"" 60112825) OR AF-ID(""Green Templeton College"" 60026867) OR AF-ID(""Hertford College"" 60104737) OR AF-ID(""Kennedy Institute of Rheumatology"" 60007247) OR AF-ID(""Charing Cross Sunley Research Centre"" 60021868) OR AF-ID(""Ludwig Institute for Cancer Research Oxford"" 60109235) OR AF-ID(""Magdalen College"" 60031641) OR AF-ID(""Merton College"" 60021955) OR AF-ID(""MRC Functional Genetics Unit"" 60023846) OR AF-ID(""MRC Immunochemistry Unit"" 60016998) OR AF-ID(""New College Oxford"" 60023861) OR AF-ID(""Nuffield College University Of Oxford"" 60010018) OR AF-ID(""Oxford Centre for Molecular Sciences"" 60029025) OR AF-ID(""Oxford University Press UK"" 60080139) OR AF-ID(""Oxford University Press India"" 60080140) OR AF-ID(""Oxford-Man Institute of Quantitative Finance"" 60112639) OR AF-ID(""Sir William Dunn School of Pathology"" 60013801) OR AF-ID(""St Antony's College University of Oxford"" 60027462) OR AF-ID(""St. John's College Oxford"" 60015166) OR AF-ID(""The Oxford Institute for Energy Studies"" 60105954) OR AF-ID(""Trinity College University of Oxford"" 60108655) OR AF-ID(""University of Oxford Medical Sciences Division"" 60002634) OR AF-ID(""Nuffield Department of Clinical Medicine"" 60008936) OR AF-ID(""University of Oxford Blavatnik School of Government"" 60115350) OR AF-ID(""University of Oxford Brasenose College"" 60115346) OR AF-ID(""University of Oxford Keble College"" 60115348) OR AF-ID(""University of Oxford Linacre College"" 60115345) OR AF-ID(""University of Oxford MRC Brain Network Dynamics Unit"" 60114209) OR AF-ID(""MRC Anatomical Neuropharmacology Unit"" 60026106) OR AF-ID(""University of Oxford Oriel College"" 60115347) OR AF-ID(""University of Oxford Saïd Business School"" 60112746) OR AF-ID(""University of Oxford Somerville College"" 60115349) OR AF-ID(""University of Oxford Wadham College"" 60112601) OR AF-ID(""Weatherall Institute of Molecular Medicine"" 60001633) OR AF-ID(""Wellcome Trust Centre for Human Genetics"" 60099539) OR AF-ID(""Wolfson College"" 60009456)"
6,University of Cambridge,United Kingdom,"AF-ID(""University of Cambridge"" 60031101) OR AF-ID(""Alan Turing Institute"" 60111768) OR AF-ID(""Bullard Laboratories"" 60008160) OR AF-ID(""[No Affiliation ID found]"" 60099425) OR AF-ID(""[No Affiliation ID found]"" 60120026) OR AF-ID(""[No Affiliation ID found]"" 60120004) OR AF-ID(""Cambridge Stem Cell Initiative"" 60012379) OR AF-ID(""Cambridge University Library"" 60119745) OR AF-ID(""[No Affiliation ID found]"" 60119940) OR AF-ID(""[No Affiliation ID found]"" 60096986) OR AF-ID(""Christ's College"" 60079645) OR AF-ID(""[No Affiliation ID found]"" 60111502) OR AF-ID(""Clare College"" 60030971) OR AF-ID(""Clare Hall"" 60119663) OR AF-ID(""CMCL Innovation Computational Modelling Cambridge Ltd"" 60112901) OR AF-ID(""Corpus Christi College"" 60089105) OR AF-ID(""Darwin College"" 60119675) OR AF-ID(""[No Affiliation ID found]"" 60120003) OR AF-ID(""[No Affiliation ID found]"" 60119999) OR AF-ID(""[No Affiliation ID found]"" 60120000) OR AF-ID(""[No Affiliation ID found]"" 60120016) OR AF-ID(""[No Affiliation ID found]"" 60119930) OR AF-ID(""[No Affiliation ID found]"" 60120028) OR AF-ID(""[No Affiliation ID found]"" 60120039) OR AF-ID(""[No Affiliation ID found]"" 60120041) OR AF-ID(""[No Affiliation ID found]"" 60120027) OR AF-ID(""[No Affiliation ID found]"" 60120029) OR AF-ID(""[No Affiliation ID found]"" 60111504) OR AF-ID(""Emmanuel College"" 60119662) OR AF-ID(""Fitzwilliam College"" 60119665) OR AF-ID(""Girton College"" 60023413) OR AF-ID(""Gonville and Caius College"" 60091913) OR AF-ID(""Homerton College"" 60014514) OR AF-ID(""Hughes Hall"" 60119664) OR AF-ID(""Hutchison MRC Research Centre"" 60031668) OR AF-ID(""Institute of Continuing Education"" 60119736) OR AF-ID(""Jesus College"" 60012901) OR AF-ID(""Kettle’s Yard"" 60119737) OR AF-ID(""King's College Cambridge"" 60100632) OR AF-ID(""[No Affiliation ID found]"" 60111503) OR AF-ID(""Magdalene College"" 60119667) OR AF-ID(""MRC Centre for Behavioural and Clinical Neuroscience Institute BCNI"" 60032894) OR AF-ID(""MRC Centre for Protein Engineering"" 60016389) OR AF-ID(""Mullard Radio Astronomy Observatory Cambridge"" 60101780) OR AF-ID(""Murray Edwards College"" 60119666) OR AF-ID(""Museum of Archaeology and Anthropology"" 60119744) OR AF-ID(""Newnham College University of Cambridge"" 60100031) OR AF-ID(""[No Affiliation ID found]"" 60120025) OR AF-ID(""[No Affiliation ID found]"" 60120040) OR AF-ID(""Pembroke College Cambridge"" 60101779) OR AF-ID(""Peterhouse Cambridge"" 60119669) OR AF-ID(""PHG Foundation"" 60116995) OR AF-ID(""[No Affiliation ID found]"" 60111501) OR AF-ID(""Robinson College"" 60119668) OR AF-ID(""[No Affiliation ID found]"" 60119932) OR AF-ID(""School of Arts and Humanities"" 60119739) OR AF-ID(""[No Affiliation ID found]"" 60119926) OR AF-ID(""[No Affiliation ID found]"" 60119927) OR AF-ID(""[No Affiliation ID found]"" 60119929) OR AF-ID(""[No Affiliation ID found]"" 60119934) OR AF-ID(""[No Affiliation ID found]"" 60119936) OR AF-ID(""[No Affiliation ID found]"" 60119938) OR AF-ID(""[No Affiliation ID found]"" 60119922) OR AF-ID(""[No Affiliation ID found]"" 60119933) OR AF-ID(""[No Affiliation ID found]"" 60119921) OR AF-ID(""School of Technology"" 60119743) OR AF-ID(""School of the Biological Sciences"" 60119742) OR AF-ID(""[No Affiliation ID found]"" 60119931) OR AF-ID(""[No Affiliation ID found]"" 60119923) OR AF-ID(""[No Affiliation ID found]"" 60119941) OR AF-ID(""School of the Humanities and Social Sciences"" 60119763) OR AF-ID(""Department of History and Philosophy of Science"" 60119767) OR AF-ID(""Faculty of Economics"" 60119762) OR AF-ID(""Faculty of History"" 60119765) OR AF-ID(""Faculty of Human Social, and Political Science"" 60119766) OR AF-ID(""[No Affiliation ID found]"" 60119924) OR AF-ID(""[No Affiliation ID found]"" 60119928) OR AF-ID(""The Faculty of Education"" 60119764) OR AF-ID(""School of the Physical Sciences"" 60119741) OR AF-ID(""[No Affiliation ID found]"" 60119935) OR AF-ID(""[No Affiliation ID found]"" 60119937) OR AF-ID(""[No Affiliation ID found]"" 60119939) OR AF-ID(""Scott Polar Research Institute"" 60101625) OR AF-ID(""Sedgwick Museum of Earth Sciences"" 60119738) OR AF-ID(""Selwyn College"" 60119670) OR AF-ID(""Sidney Sussex College"" 60119672) OR AF-ID(""St Catharine's College"" 60119674) OR AF-ID(""St Edmund's College Cambridge"" 60101489) OR AF-ID(""[No Affiliation ID found]"" 60120038) OR AF-ID(""St. John's College Cambridge"" 60022446) OR AF-ID(""[No Affiliation ID found]"" 60120042) OR AF-ID(""[No Affiliation ID found]"" 60120010) OR AF-ID(""Trinity College - Cambridge"" 60006257) OR AF-ID(""Trinity Hall"" 60119671) OR AF-ID(""University Museum of Zoology Cambridge"" 60032641) OR AF-ID(""University of Cambridge Institute of Astronomy"" 60019598) OR AF-ID(""University of Cambridge Interdisciplinary Research Centre in Superconductivity"" 60025925) OR AF-ID(""University of Cambridge Institute of Public Health"" 60009587) OR AF-ID(""University of Cambridge Judge Business School"" 60112768) OR AF-ID(""University of Cambridge School of Clinical Medicine"" 60025649) OR AF-ID(""[No Affiliation ID found]"" 60120014) OR AF-ID(""Autism Research Centre"" 60032885) OR AF-ID(""Cambridge Institute for Medical Research"" 60103296) OR AF-ID(""[No Affiliation ID found]"" 60120009) OR AF-ID(""[No Affiliation ID found]"" 60119925) OR AF-ID(""[No Affiliation ID found]"" 60120015) OR AF-ID(""[No Affiliation ID found]"" 60120017) OR AF-ID(""[No Affiliation ID found]"" 60119998) OR AF-ID(""[No Affiliation ID found]"" 60120001) OR AF-ID(""[No Affiliation ID found]"" 60120002) OR AF-ID(""[No Affiliation ID found]"" 60120005) OR AF-ID(""[No Affiliation ID found]"" 60120011) OR AF-ID(""[No Affiliation ID found]"" 60120018) OR AF-ID(""[No Affiliation ID found]"" 60120012) OR AF-ID(""[No Affiliation ID found]"" 60120019) OR AF-ID(""[No Affiliation ID found]"" 60120013) OR AF-ID(""MRC Centre for Nutritional Epidemiology in Cancer Prevention and Survival"" 60018242) OR AF-ID(""Wellcome Trust - Medical Research Council Cambridge Stem Cell Institute"" 60105833) OR AF-ID(""Wellcome Trust/Cancer Research UK Gurdon Institute"" 60028377) OR AF-ID(""Whipple Museum of the History of Science"" 60119740) OR AF-ID(""Wolfson College"" 60119673)"
7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,"AF-ID(""ETH Zürich"" 60025858) OR AF-ID(""Competence Center for Systems Physiology and Metabolic Diseases"" 60103077) OR AF-ID(""ETH Institute of Biochemistry"" 60027920) OR AF-ID(""ETH Zurich Institute for Quantum Electronics"" 60020414) OR AF-ID(""ETH Zurich Institute of Microbiology"" 60020003) OR AF-ID(""ETH Zurich Institute of Molecular Biology &amp; Biophysics"" 60033297) OR AF-ID(""ETH Zurich Institute of Reactor Technology"" 60074272) OR AF-ID(""ETH Zurich Geological Institute"" 60115722) OR AF-ID(""ETH Zurich Institute of Terrestrial Ecosystems"" 60102622) OR AF-ID(""ETH Zurich Laboratorium fur Anorganische Chemie"" 60115723) OR AF-ID(""Foundation for Research on Information Technologies in Society ITIS"" 60074510) OR AF-ID(""Inspire AG"" 60074317) OR AF-ID(""Institut für Atmosphäre und Klima"" 60099375) OR AF-ID(""Institut für Hygiene und Arbeitsphysiologie Eidgenossische Technische Hochschule Zurich"" 60105441) OR AF-ID(""Institut für Mechanische Systeme Eidgenossische Technische Hochschule Zurich"" 60105443) OR AF-ID(""Institut für Polymere ETH Zürich"" 60069911) OR AF-ID(""Institut für terretrische Ökologie"" 60016484) OR AF-ID(""Institute for Construction and Design Swiss Federal Institute of Technology Zurich"" 60105442) OR AF-ID(""Institute of Neuroinformatics Zurich"" 60070530) OR AF-ID(""Instituts für Arbeitspsychologie Eidgenossische Technische Hochschule Zurich"" 60105444) OR AF-ID(""KOF Swiss Economic Institute ETH Zürich"" 60103083) OR AF-ID(""Laboratorium fur Festkorperphysik"" 60031815) OR AF-ID(""Laboratoriums für Physikalische Chemie ETH Zürich"" 60000532) OR AF-ID(""Singapore-ETH Centre"" 60115718) OR AF-ID(""SuSoS AG"" 60112981) OR AF-ID(""Swiss Federal Institute of Technology Collegium Helveticum"" 60099404) OR AF-ID(""u-blox AG"" 60115312)"
8,Imperial College London,United Kingdom,"AF-ID(""Imperial College London"" 60015150) OR AF-ID(""Antikor Biopharma Ltd."" 60112865) OR AF-ID(""Bio Nano Consulting"" 60112905) OR AF-ID(""Charing Cross Hospital"" 60012558) OR AF-ID(""Chelsea and Westminster Hospital"" 60002484) OR AF-ID(""Hammersmith Hospital"" 60020416) OR AF-ID(""Queen Charlotte's Matern. Hosp."" 60012941) OR AF-ID(""Hexxcell Ltd."" 60112859) OR AF-ID(""Imperial College Academic Health Science Centre"" 60117215) OR AF-ID(""Imperial College Business School"" 60116484) OR AF-ID(""[No Affiliation ID found]"" 60116485) OR AF-ID(""Imperial College Faculty of Medicine"" 60020413) OR AF-ID(""Charing Cross Hospital Medical School"" 60003756) OR AF-ID(""MRC Clinical Sciences Centre"" 60006757) OR AF-ID(""National Heart and Lung Institute"" 60010719) OR AF-ID(""Royal Postgraduate Medical School"" 60019834) OR AF-ID(""Imperial College Healthcare NHS Trust"" 60111785) OR AF-ID(""Imperial College London Silwood Park Campus"" 60022235) OR AF-ID(""Imperial College London Wye Campus"" 60009566) OR AF-ID(""Imperial College London Royal School of Mines Association"" 60082872) OR AF-ID(""Royal Brompton Hospital"" 60009009) OR AF-ID(""St Mary's Hospital London"" 60022871) OR AF-ID(""St Mary's Hospital Medical School"" 60000332) OR AF-ID(""St. Mark's Hospital and Academic Institute"" 60022734)"
